code,period,midpoint,basin,SEC
199107-199607,1991/07 - 1996/07,1994.0759,0,-0.15353924036026
199107-199607,1991/07 - 1996/07,1994.0759,1,-0.18625877797603607
199107-199607,1991/07 - 1996/07,1994.0759,2,-0.05384431406855583
199107-199607,1991/07 - 1996/07,1994.0759,3,-0.038033053278923035
199107-199607,1991/07 - 1996/07,1994.0759,4,-0.03370770439505577
199107-199607,1991/07 - 1996/07,1994.0759,5,-0.0555107556283474
199107-199607,1991/07 - 1996/07,1994.0759,6,-0.06515368074178696
199107-199607,1991/07 - 1996/07,1994.0759,7,-0.051646411418914795
199107-199607,1991/07 - 1996/07,1994.0759,8,-0.047508154064416885
199107-199607,1991/07 - 1996/07,1994.0759,9,-0.0977320745587349
199107-199607,1991/07 - 1996/07,1994.0759,10,-0.03896217793226242
199107-199607,1991/07 - 1996/07,1994.0759,11,-0.0716656967997551
199107-199607,1991/07 - 1996/07,1994.0759,12,-0.08004609495401382
199107-199607,1991/07 - 1996/07,1994.0759,13,-0.07395113259553909
199107-199607,1991/07 - 1996/07,1994.0759,14,-0.05935368686914444
199107-199607,1991/07 - 1996/07,1994.0759,15,-0.17884165048599243
199107-199607,1991/07 - 1996/07,1994.0759,16,-0.20683032274246216
199107-199607,1991/07 - 1996/07,1994.0759,17,-0.21029900014400482
199107-199607,1991/07 - 1996/07,1994.0759,18,-0.03949547931551933
199107-199607,1991/07 - 1996/07,1994.0759,all,-0.05790053
199108-199608,1991/08 - 1996/08,1994.1608,0,-0.16408582031726837
199108-199608,1991/08 - 1996/08,1994.1608,1,-0.18659397959709167
199108-199608,1991/08 - 1996/08,1994.1608,2,-0.05529150739312172
199108-199608,1991/08 - 1996/08,1994.1608,3,-0.03840913996100426
199108-199608,1991/08 - 1996/08,1994.1608,4,-0.03351236879825592
199108-199608,1991/08 - 1996/08,1994.1608,5,-0.05530369654297829
199108-199608,1991/08 - 1996/08,1994.1608,6,-0.06477737426757812
199108-199608,1991/08 - 1996/08,1994.1608,7,-0.05139503628015518
199108-199608,1991/08 - 1996/08,1994.1608,8,-0.047957971692085266
199108-199608,1991/08 - 1996/08,1994.1608,9,-0.09731234610080719
199108-199608,1991/08 - 1996/08,1994.1608,10,-0.039031703025102615
199108-199608,1991/08 - 1996/08,1994.1608,11,-0.07191229611635208
199108-199608,1991/08 - 1996/08,1994.1608,12,-0.08005163073539734
199108-199608,1991/08 - 1996/08,1994.1608,13,-0.07344032824039459
199108-199608,1991/08 - 1996/08,1994.1608,14,-0.06177811324596405
199108-199608,1991/08 - 1996/08,1994.1608,15,-0.18023939430713654
199108-199608,1991/08 - 1996/08,1994.1608,16,-0.2064230740070343
199108-199608,1991/08 - 1996/08,1994.1608,17,-0.2121998369693756
199108-199608,1991/08 - 1996/08,1994.1608,18,-0.03962039202451706
199108-199608,1991/08 - 1996/08,1994.1608,all,-0.05804601
199109-199609,1991/09 - 1996/09,1994.2456,0,-0.16408582031726837
199109-199609,1991/09 - 1996/09,1994.2456,1,-0.18659397959709167
199109-199609,1991/09 - 1996/09,1994.2456,2,-0.05529150739312172
199109-199609,1991/09 - 1996/09,1994.2456,3,-0.03840913996100426
199109-199609,1991/09 - 1996/09,1994.2456,4,-0.03351236879825592
199109-199609,1991/09 - 1996/09,1994.2456,5,-0.05530369654297829
199109-199609,1991/09 - 1996/09,1994.2456,6,-0.06477737426757812
199109-199609,1991/09 - 1996/09,1994.2456,7,-0.05139503628015518
199109-199609,1991/09 - 1996/09,1994.2456,8,-0.047957971692085266
199109-199609,1991/09 - 1996/09,1994.2456,9,-0.09731234610080719
199109-199609,1991/09 - 1996/09,1994.2456,10,-0.039031703025102615
199109-199609,1991/09 - 1996/09,1994.2456,11,-0.07191229611635208
199109-199609,1991/09 - 1996/09,1994.2456,12,-0.08005163073539734
199109-199609,1991/09 - 1996/09,1994.2456,13,-0.07344032824039459
199109-199609,1991/09 - 1996/09,1994.2456,14,-0.06177811324596405
199109-199609,1991/09 - 1996/09,1994.2456,15,-0.18023939430713654
199109-199609,1991/09 - 1996/09,1994.2456,16,-0.2064230740070343
199109-199609,1991/09 - 1996/09,1994.2456,17,-0.2121998369693756
199109-199609,1991/09 - 1996/09,1994.2456,18,-0.03962039202451706
199109-199609,1991/09 - 1996/09,1994.2456,all,-0.05804601
199110-199610,1991/10 - 1996/10,1994.3276,0,-0.16408582031726837
199110-199610,1991/10 - 1996/10,1994.3276,1,-0.18659397959709167
199110-199610,1991/10 - 1996/10,1994.3276,2,-0.05529150739312172
199110-199610,1991/10 - 1996/10,1994.3276,3,-0.03840913996100426
199110-199610,1991/10 - 1996/10,1994.3276,4,-0.03351236879825592
199110-199610,1991/10 - 1996/10,1994.3276,5,-0.05530369654297829
199110-199610,1991/10 - 1996/10,1994.3276,6,-0.06477737426757812
199110-199610,1991/10 - 1996/10,1994.3276,7,-0.05139503628015518
199110-199610,1991/10 - 1996/10,1994.3276,8,-0.047957971692085266
199110-199610,1991/10 - 1996/10,1994.3276,9,-0.09731234610080719
199110-199610,1991/10 - 1996/10,1994.3276,10,-0.039031703025102615
199110-199610,1991/10 - 1996/10,1994.3276,11,-0.07191229611635208
199110-199610,1991/10 - 1996/10,1994.3276,12,-0.08005163073539734
199110-199610,1991/10 - 1996/10,1994.3276,13,-0.07344032824039459
199110-199610,1991/10 - 1996/10,1994.3276,14,-0.06177811324596405
