code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,1,-0.186,-0.186,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,2,-0.054,-0.055,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,3,-0.038,-0.038,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,4,-0.034,-0.034,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,5,-0.056,-0.055,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,6,-0.065,-0.065,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,7,-0.052,-0.051,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,8,-0.048,-0.048,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,9,-0.098,-0.097,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,10,-0.039,-0.039,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,11,-0.072,-0.072,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,12,-0.08,-0.08,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,13,-0.074,-0.074,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,14,-0.059,-0.061,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,15,-0.179,-0.18,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,16,-0.207,-0.207,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,17,-0.21,-0.211,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,18,-0.039,-0.04,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,all,-0.058,-0.058,0.0
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,1,-0.187,-0.186,-0.18642637878656387
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,2,-0.055,-0.055,-0.054567910730838776
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,3,-0.038,-0.038,-0.038221096619963646
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,4,-0.034,-0.034,-0.033610036596655846
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,5,-0.055,-0.055,-0.05540722608566284
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,6,-0.065,-0.065,-0.06496552750468254
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,7,-0.051,-0.051,-0.05152072384953499
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,8,-0.048,-0.048,-0.047733062878251076
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,9,-0.097,-0.097,-0.09752221032977104
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,10,-0.039,-0.039,-0.03899694047868252
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,11,-0.072,-0.072,-0.07178899645805359
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,12,-0.08,-0.08,-0.08004886284470558
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,13,-0.073,-0.074,-0.07369573041796684
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,14,-0.062,-0.061,-0.060565900057554245
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,15,-0.18,-0.18,-0.17954052239656448
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,16,-0.206,-0.207,-0.20662669837474823
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,17,-0.212,-0.211,-0.21124941855669022
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,18,-0.04,-0.04,-0.039557935670018196
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,all,-0.058,-0.058,-0.05797326937317848
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,1,-0.187,-0.187,-0.37302035838365555
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,2,-0.055,-0.055,-0.1098594181239605
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,3,-0.038,-0.038,-0.0766302365809679
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,4,-0.034,-0.034,-0.06712240539491177
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,5,-0.055,-0.055,-0.11071092262864113
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,6,-0.065,-0.065,-0.12974290177226067
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,7,-0.051,-0.051,-0.10291576012969017
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,8,-0.048,-0.048,-0.09569103457033634
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,9,-0.097,-0.097,-0.19483455643057823
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,10,-0.039,-0.039,-0.07802864350378513
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,11,-0.072,-0.072,-0.14370129257440567
