code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,1,-0.008,-0.008,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,2,-0.124,-0.124,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,3,0.032,0.032,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,4,0.035,0.034,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,5,-0.049,-0.049,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,6,-0.118,-0.118,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,7,0.032,0.032,0.0
1991-1996-07,1991/07 - 1996/07,1994-01-28 12:02:43.476562,all,-0.004,-0.004,0.0
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,1,-0.008,-0.008,-0.007654211483895779
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,2,-0.124,-0.124,-0.12414118647575378
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,3,0.032,0.032,0.0321891475468874
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,4,0.034,0.034,0.03417443670332432
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,5,-0.049,-0.049,-0.048894718289375305
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,6,-0.118,-0.118,-0.11807633936405182
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,7,0.032,0.032,0.03222506493330002
1991-1996-08,1991/08 - 1996/08,1994-02-28 12:15:01.757812,all,-0.005,-0.004,-0.004370613489300013
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,1,-0.008,-0.008,-0.015308422967791557
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,2,-0.124,-0.124,-0.24828237295150757
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,3,0.032,0.032,0.06439084745943546
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,4,0.034,0.034,0.06771591864526272
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,5,-0.049,-0.049,-0.09778943657875061
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,6,-0.118,-0.118,-0.23615267872810364
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,7,0.032,0.032,0.06445012986660004
1991-1996-09,1991/09 - 1996/09,1994-03-31 12:55:09.960938,all,-0.005,-0.004,-0.008905827067792416
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,1,-0.008,-0.006,-0.022962634451687336
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,2,-0.124,-0.119,-0.37242355942726135
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,3,0.032,0.033,0.09659254737198353
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,4,0.034,0.034,0.10125740058720112
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,5,-0.049,-0.046,-0.14668415486812592
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,6,-0.118,-0.116,-0.35422901809215546
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,7,0.032,0.035,0.09667519479990005
1991-1996-10,1991/10 - 1996/10,1994-04-30 13:01:56.015625,all,-0.005,-0.003,-0.013441040646284819
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,1,-0.008,-0.005,-0.030616845935583115
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,2,-0.124,-0.114,-0.49656474590301514
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,3,0.032,0.033,0.1287942472845316
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,4,0.034,0.034,0.13479888252913952
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,5,-0.049,-0.042,-0.19557887315750122
